Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4999,
Trigger Level,3.980E-01,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E-01,
Vertical Position,-4.160E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-01,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Display Last Dot Address,10000,
Waveform Last Dot Address,0,
SincET Mode,Real Time,
Sampling Period,1.000E-04,
Horizontal Old Scale,1.000E-01,
Horizontal Old Position,0.000E+00,
Firmware,V1.32,
Mode,Detail,
Waveform Data,
-4.389000e-01,6.24e-01,
-4.388000e-01,6.24e-01,
-4.387000e-01,6.24e-01,
-4.386000e-01,6.24e-01,
-4.385000e-01,6.24e-01,
-4.384000e-01,6.24e-01,
-4.383000e-01,6.32e-01,
-4.382000e-01,6.24e-01,
-4.381000e-01,6.36e-01,
-4.380000e-01,6.32e-01,
-4.379000e-01,6.32e-01,
-4.378000e-01,6.32e-01,
-4.377000e-01,6.20e-01,
-4.376000e-01,6.24e-01,
-4.375000e-01,5.92e-01,
-4.374000e-01,6.16e-01,
-4.373000e-01,6.20e-01,
-4.372000e-01,6.16e-01,
-4.371000e-01,6.24e-01,
-4.370000e-01,6.20e-01,
-4.369000e-01,6.16e-01,
-4.368000e-01,6.20e-01,
-4.367000e-01,6.20e-01,
-4.366000e-01,6.20e-01,
-4.365000e-01,6.24e-01,
-4.364000e-01,6.20e-01,
-4.363000e-01,6.32e-01,
-4.362000e-01,6.24e-01,
-4.361000e-01,6.24e-01,
-4.360000e-01,6.24e-01,
-4.359000e-01,6.20e-01,
-4.358000e-01,6.20e-01,
-4.357000e-01,6.20e-01,
-4.356000e-01,6.24e-01,
-4.355000e-01,6.20e-01,
-4.354000e-01,6.16e-01,
-4.353000e-01,5.88e-01,
-4.352000e-01,5.92e-01,
-4.351000e-01,5.92e-01,
-4.350000e-01,6.08e-01,
-4.349000e-01,6.16e-01,
-4.348000e-01,5.96e-01,
-4.347000e-01,6.12e-01,
-4.346000e-01,6.24e-01,
-4.345000e-01,6.16e-01,
-4.344000e-01,6.08e-01,
-4.343000e-01,5.92e-01,
-4.342000e-01,6.12e-01,
-4.341000e-01,5.76e-01,
-4.340000e-01,5.96e-01,
-4.339000e-01,6.12e-01,
-4.338000e-01,6.24e-01,
-4.337000e-01,6.16e-01,
-4.336000e-01,5.96e-01,
-4.335000e-01,6.12e-01,
-4.334000e-01,6.12e-01,
-4.333000e-01,6.12e-01,
-4.332000e-01,6.12e-01,
-4.331000e-01,6.12e-01,
-4.330000e-01,6.16e-01,
-4.329000e-01,6.16e-01,
-4.328000e-01,6.16e-01,
-4.327000e-01,6.08e-01,
-4.326000e-01,5.64e-01,
-4.325000e-01,5.80e-01,
-4.324000e-01,5.64e-01,
-4.323000e-01,6.20e-01,
-4.322000e-01,6.20e-01,
-4.321000e-01,5.96e-01,
-4.320000e-01,5.76e-01,
-4.319000e-01,6.24e-01,
-4.318000e-01,6.00e-01,
-4.317000e-01,5.72e-01,
-4.316000e-01,5.96e-01,
-4.315000e-01,6.00e-01,
-4.314000e-01,6.16e-01,
-4.313000e-01,5.52e-01,
-4.312000e-01,5.68e-01,
-4.311000e-01,6.24e-01,
-4.310000e-01,6.24e-01,
-4.309000e-01,5.64e-01,
-4.308000e-01,5.72e-01,
-4.307000e-01,6.24e-01,
-4.306000e-01,6.08e-01,
-4.305000e-01,6.32e-01,
-4.304000e-01,5.52e-01,
-4.303000e-01,6.00e-01,
-4.302000e-01,5.64e-01,
-4.301000e-01,5.68e-01,
-4.300000e-01,5.52e-01,
-4.299000e-01,5.48e-01,
-4.298000e-01,5.48e-01,
-4.297000e-01,5.52e-01,
-4.296000e-01,5.64e-01,
-4.295000e-01,5.44e-01,
-4.294000e-01,5.64e-01,
-4.293000e-01,5.88e-01,
-4.292000e-01,6.12e-01,
-4.291000e-01,5.68e-01,
-4.290000e-01,5.96e-01,
-4.289000e-01,6.08e-01,
-4.288000e-01,6.00e-01,
-4.287000e-01,6.08e-01,
-4.286000e-01,6.00e-01,
-4.285000e-01,6.00e-01,
-4.284000e-01,6.08e-01,
-4.283000e-01,6.00e-01,
-4.282000e-01,6.08e-01,
-4.281000e-01,6.00e-01,
-4.280000e-01,6.00e-01,
-4.279000e-01,5.92e-01,
-4.278000e-01,6.00e-01,
-4.277000e-01,6.00e-01,
-4.276000e-01,6.00e-01,
-4.275000e-01,5.76e-01,
-4.274000e-01,5.88e-01,
-4.273000e-01,6.00e-01,
-4.272000e-01,5.96e-01,
-4.271000e-01,6.00e-01,
-4.270000e-01,6.12e-01,
-4.269000e-01,6.16e-01,
-4.268000e-01,6.08e-01,
-4.267000e-01,5.92e-01,
-4.266000e-01,6.12e-01,
-4.265000e-01,6.16e-01,
-4.264000e-01,6.16e-01,
-4.263000e-01,6.16e-01,
-4.262000e-01,6.12e-01,
-4.261000e-01,6.20e-01,
-4.260000e-01,5.68e-01,
-4.259000e-01,6.16e-01,
